,name,lon,lat,zNum,carCap,carDisCap,address
82,Парковка №0301 (10),37.590575,55.736646,0301,7,0,"Зубовский бульвар, дом 25"
83,,,,,,,
84,Парковка №0301 (13),37.58771,55.737757,0301,9,2,"Зубовский бульвар, дом 29"
85,Парковка №0301 (13),37.588558,55.737419,0301,9,2,"Зубовский бульвар, дом 29"
86,,,,,,,
87,Парковка №0301 (19),37.588,55.738047,0301,8,1,"Зубовский бульвар, дом 16-20, строение 1"
88,Парковка №0301 (19),37.588558,55.737827,0301,8,1,"Зубовский бульвар, дом 16-20, строение 1"
89,,,,,,,
90,Парковка №0301 (20),37.585297,55.740829,0301,10,2,"Смоленский бульвар, дом 6-8"
91,Парковка №0301 (20),37.5857,55.740023,0301,10,2,"Смоленский бульвар, дом 6-8"
92,,,,,,,
93,Парковка №0301 (21),37.58444,55.741101,0301,8,0,"Смоленский бульвар, дом 13, строение 1"
94,Парковка №0301 (21),37.584314,55.741445,0301,8,0,"Смоленский бульвар, дом 13, строение 1"
95,,,,,,,
96,Парковка №0301 (23),37.570536,55.738863,0301,11,2,"Саввинская набережная, дом 3"
97,Парковка №0301 (23),37.569956,55.738224,0301,11,2,"Саввинская набережная, дом 3"
98,,,,,,,
99,Парковка №0301 (26),37.558914,55.731832,0301,8,2,"Саввинская набережная, дом 23, строение 1"
100,Парковка №0301 (26),37.559665,55.732194,0301,8,2,"Саввинская набережная, дом 23, строение 1"
101,,,,,,,
102,Парковка №0301 (42),37.595124,55.736475,0301,9,2,"улица Остоженка, дом 53А"
103,Парковка №0301 (42),37.595338,55.736757,0301,9,2,"улица Остоженка, дом 53А"
104,,,,,,,
105,Парковка №0301 (202),37.610219,55.748284,0301,8,0,"Лебяжий переулок, дом 4, строение 4"
106,Парковка №0301 (202),37.610214,55.748374,0301,8,0,"Лебяжий переулок, дом 4, строение 4"
107,Парковка №0301 (202),37.61023,55.748456,0301,8,0,"Лебяжий переулок, дом 4, строение 4"
108,Парковка №0301 (202),37.610348,55.74848,0301,8,0,"Лебяжий переулок, дом 4, строение 4"
109,Парковка №0301 (202),37.610482,55.748444,0301,8,0,"Лебяжий переулок, дом 4, строение 4"
110,Парковка №0301 (202),37.610595,55.748314,0301,8,0,"Лебяжий переулок, дом 4, строение 4"
111,,,,,,,
112,Парковка №0301 (201),37.609881,55.747669,0301,9,2,"Кремлёвская набережная, дом 1/9, строение 10"
113,Парковка №0301 (201),37.609468,55.747327,0301,9,2,"Кремлёвская набережная, дом 1/9, строение 10"
114,,,,,,,
115,Парковка №0301 (232),37.602092,55.739154,0301,7,0,"Молочный переулок, дом 1"
116,Парковка №0301 (232),37.602725,55.739172,0301,7,0,"Молочный переулок, дом 1"
117,,,,,,,
118,Парковка №0301 (46),37.602232,55.743251,0301,10,0,"1-й Обыденский переулок, дом 5"
119,Парковка №0301 (46),37.603047,55.74287,0301,10,0,"1-й Обыденский переулок, дом 5"
120,,,,,,,
121,Парковка №0301 (231),37.602156,55.74264,0301,8,0,"2-й Обыденский переулок, дом 8/8"
122,Парковка №0301 (231),37.602462,55.742507,0301,8,0,"2-й Обыденский переулок, дом 8/8"
123,Парковка №0301 (231),37.603117,55.742232,0301,8,0,"2-й Обыденский переулок, дом 8/8"
124,,,,,,,
125,Парковка №0301 (48),37.604131,55.742655,0301,7,1,"3-й Обыденский переулок, дом 2"
126,Парковка №0301 (48),37.604844,55.743082,0301,7,1,"3-й Обыденский переулок, дом 2"
127,,,,,,,
128,Парковка №0301 (225),37.604624,55.741708,0301,11,0,"Курсовой переулок, дом 4"
129,Парковка №0301 (225),37.605649,55.741415,0301,11,0,"Курсовой переулок, дом 4"
130,,,,,,,
131,Парковка №0301 (209),37.601974,55.738279,0301,9,2,"Бутиковский переулок, дом 16, строение 1"
132,Парковка №0301 (209),37.601561,55.73784,0301,9,2,"Бутиковский переулок, дом 16, строение 1"
133,,,,,,,
134,Парковка №0301 (208),37.600059,55.735976,0301,9,1,"Пречистенская набережная, дом 3, строение 1"
135,Парковка №0301 (208),37.601121,55.736475,0301,9,1,"Пречистенская набережная, дом 3, строение 1"
136,,,,,,,
137,Парковка №0301 (51),37.584271,55.737492,0301,7,0,"улица Тимура Фрунзе, дом 34, строение 2"
138,Парковка №0301 (51),37.584701,55.737229,0301,7,0,"улица Тимура Фрунзе, дом 34, строение 2"
139,,,,,,,
140,Парковка №0301 (53),37.584218,55.737456,0301,7,2,"улица Тимура Фрунзе, дом 15/1"
