,name,lon,lat
174,Обручевский район,37.535619,55.656299
175,Обручевский район,37.530675,55.656789
176,Обручевский район,37.527965,55.657068
177,Обручевский район,37.525366,55.657307
178,Обручевский район,37.525353,55.65726
179,Обручевский район,37.524697,55.656723
180,Обручевский район,37.52442,55.65652
181,Обручевский район,37.522765,55.655288
182,Обручевский район,37.52118,55.656048
183,Обручевский район,37.519923,55.655159
184,Обручевский район,37.520571,55.654945
185,Обручевский район,37.52083,55.655121
186,Обручевский район,37.52189,55.65464
187,Обручевский район,37.51738,55.651169
188,Обручевский район,37.517204,55.651035
189,Обручевский район,37.515984,55.650119
190,Обручевский район,37.51343,55.648204
191,Обручевский район,37.513254,55.648095
192,Обручевский район,37.513157,55.648134
193,Обручевский район,37.510585,55.64918
194,Обручевский район,37.510009,55.649431
195,Обручевский район,37.509847,55.649502
196,Обручевский район,37.509154,55.649805
197,Обручевский район,37.508804,55.649958
198,Обручевский район,37.504697,55.646857
199,Обручевский район,37.503494,55.645946
200,Обручевский район,37.502554,55.645235
201,Обручевский район,37.500514,55.643716
202,Обручевский район,37.498505,55.64219
203,Обручевский район,37.496647,55.642915
204,Обручевский район,37.496398,55.643012
205,Обручевский район,37.495052,55.643537
206,Обручевский район,37.493955,55.643965
207,Обручевский район,37.493188,55.644265
208,Обручевский район,37.492299,55.644611
209,Обручевский район,37.490576,55.645268
210,Обручевский район,37.488789,55.645949
211,Обручевский район,37.487876,55.646302
212,Обручевский район,37.487463,55.646469
213,Обручевский район,37.487079,55.646615
214,Обручевский район,37.486478,55.646863
215,Обручевский район,37.486261,55.646998
216,Обручевский район,37.486217,55.647026
217,Обручевский район,37.485701,55.647362
218,Обручевский район,37.485434,55.647515
219,Обручевский район,37.485346,55.647572
220,Обручевский район,37.484612,55.648049
221,Обручевский район,37.483302,55.648819
222,Обручевский район,37.482453,55.649455
223,,,
224,район Свиблово,37.625041,55.857086
225,район Свиблово,37.625101,55.857268
226,район Свиблово,37.625146,55.857405
227,район Свиблово,37.625715,55.85726
228,район Свиблово,37.625915,55.85721
229,район Свиблово,37.627071,55.85699
230,район Свиблово,37.628681,55.856898
231,район Свиблово,37.629232,55.856885
232,район Свиблово,37.631006,55.856987
233,район Свиблово,37.632081,55.857221
234,район Свиблово,37.632609,55.857282
235,район Свиблово,37.632901,55.857357
236,район Свиблово,37.632945,55.857442
237,район Свиблово,37.633054,55.857684
238,район Свиблово,37.633006,55.857933
239,район Свиблово,37.632928,55.858504
240,район Свиблово,37.632876,55.858923
241,район Свиблово,37.632875,55.859176
242,район Свиблово,37.632956,55.859415
243,район Свиблово,37.633218,55.859893
244,район Свиблово,37.63359,55.860321
245,район Свиблово,37.633706,55.860448
246,район Свиблово,37.633855,55.860614
247,район Свиблово,37.634231,55.860857
248,район Свиблово,37.635109,55.86137
249,район Свиблово,37.636707,55.862368
250,район Свиблово,37.63814,55.863259
251,район Свиблово,37.638279,55.863426
252,район Свиблово,37.638294,55.86355
253,район Свиблово,37.63835,55.863639
254,район Свиблово,37.639086,55.864013
255,район Свиблово,37.639308,55.864121
256,район Свиблово,37.639909,55.864863
257,район Свиблово,37.640165,55.865019
258,район Свиблово,37.640488,55.865167
259,район Свиблово,37.640903,55.86525
260,район Свиблово,37.641732,55.865323
261,район Свиблово,37.641721,55.865312
262,район Свиблово,37.641777,55.865131
263,район Свиблово,37.641906,55.864727
264,район Свиблово,37.642129,55.864394
265,район Свиблово,37.64237,55.864243
266,район Свиблово,37.642593,55.864112
267,район Свиблово,37.643481,55.863805
268,район Свиблово,37.644811,55.863344
269,район Свиблово,37.644975,55.863122
270,район Свиблово,37.645303,55.862632
271,район Свиблово,37.645335,55.862585
272,район Свиблово,37.646043,55.861557
273,район Свиблово,37.646698,55.861085
274,район Свиблово,37.646852,55.860975
275,район Свиблово,37.652942,55.857599
276,район Свиблово,37.653446,55.857558
277,район Свиблово,37.653727,55.857534
278,район Свиблово,37.65398,55.857514
279,район Свиблово,37.654673,55.857456
280,район Свиблово,37.654893,55.857435
281,район Свиблово,37.655752,55.857353
282,район Свиблово,37.657059,55.857228
283,район Свиблово,37.659467,55.856997
284,район Свиблово,37.661031,55.856848
285,район Свиблово,37.661187,55.856833
286,район Свиблово,37.661456,55.856838
287,район Свиблово,37.661607,55.856865
288,район Свиблово,37.661673,55.856879
289,район Свиблово,37.661719,55.856889
290,район Свиблово,37.661807,55.856924
291,район Свиблово,37.661868,55.856945
292,район Свиблово,37.661975,55.856838
293,район Свиблово,37.662839,55.85613
294,район Свиблово,37.66428,55.855164
295,район Свиблово,37.666374,55.853846
296,район Свиблово,37.669295,55.85195
297,район Свиблово,37.67038,55.851269
298,район Свиблово,37.670585,55.851132
299,район Свиблово,37.670885,55.850894
300,район Свиблово,37.671211,55.850448
301,район Свиблово,37.671447,55.850446
302,район Свиблово,37.671943,55.850425
303,район Свиблово,37.671757,55.849057
304,район Свиблово,37.671454,55.846809
305,район Свиблово,37.66723,55.843614
306,район Свиблово,37.665397,55.842252
307,район Свиблово,37.664575,55.841643
308,район Свиблово,37.663466,55.840795
309,район Свиблово,37.663091,55.840918
310,район Свиблово,37.662535,55.841083
311,район Свиблово,37.656485,55.842977
312,район Свиблово,37.655044,55.843385
313,район Свиблово,37.653706,55.843837
314,район Свиблово,37.650557,55.844621
315,район Свиблово,37.649459,55.844768
316,район Свиблово,37.648257,55.844947
317,район Свиблово,37.642994,55.845298
318,район Свиблово,37.639936,55.845535
319,район Свиблово,37.63848,55.845577
320,район Свиблово,37.637667,55.845619
321,район Свиблово,37.636425,55.845652
322,район Свиблово,37.635868,55.845676
323,район Свиблово,37.635285,55.845694
324,район Свиблово,37.632718,55.845801
325,район Свиблово,37.6315,55.845846
326,район Свиблово,37.626945,55.846012
327,район Свиблово,37.626722,55.846015
328,район Свиблово,37.626714,55.846112
329,район Свиблово,37.62665,55.846921
330,район Свиблово,37.626626,55.847378
331,район Свиблово,37.626597,55.847665
332,район Свиблово,37.626575,55.847983
333,район Свиблово,37.626485,55.848751
334,район Свиблово,37.626039,55.853418
335,район Свиблово,37.625858,55.855384
336,район Свиблово,37.625744,55.855729
337,район Свиблово,37.625504,55.856181
338,район Свиблово,37.62512,55.856772
339,район Свиблово,37.6251,55.85685
340,район Свиблово,37.625041,55.857086
341,,,
342,район Зюзино,37.563998,55.649463
343,район Зюзино,37.564465,55.650088
344,район Зюзино,37.565121,55.650855
345,район Зюзино,37.565369,55.651133
346,район Зюзино,37.565814,55.651595
347,район Зюзино,37.56617,55.651937
348,район Зюзино,37.571096,55.656615
349,район Зюзино,37.576177,55.661293
350,район Зюзино,37.578771,55.663728
351,район Зюзино,37.581245,55.666025
352,район Зюзино,37.585388,55.665596
353,район Зюзино,37.593163,55.665503
354,район Зюзино,37.596773,55.666279
355,район Зюзино,37.598031,55.665858
356,район Зюзино,37.599725,55.665282
357,район Зюзино,37.601378,55.664792
358,район Зюзино,37.602432,55.664629
359,район Зюзино,37.607646,55.664083
360,район Зюзино,37.613572,55.663479
361,район Зюзино,37.613497,55.663414
362,район Зюзино,37.613398,55.663332
363,район Зюзино,37.613164,55.663128
364,район Зюзино,37.613017,55.663002
365,район Зюзино,37.612869,55.662876
366,район Зюзино,37.611375,55.661598
367,район Зюзино,37.610535,55.6609
368,район Зюзино,37.61041,55.660807
369,район Зюзино,37.610237,55.660678
370,район Зюзино,37.60996,55.66045
371,район Зюзино,37.608115,55.658948
372,район Зюзино,37.608058,55.658898
373,район Зюзино,37.606915,55.657923
374,район Зюзино,37.605867,55.657031
375,район Зюзино,37.605666,55.656811
376,район Зюзино,37.605492,55.656585
377,район Зюзино,37.605467,55.656527
378,район Зюзино,37.605446,55.656448
379,район Зюзино,37.605445,55.656221
380,район Зюзино,37.605445,55.656059
381,район Зюзино,37.605465,55.65479
382,район Зюзино,37.605488,55.653732
383,район Зюзино,37.605496,55.653628
384,район Зюзино,37.605501,55.653374
385,район Зюзино,37.605503,55.653044
386,район Зюзино,37.605505,55.652923
387,район Зюзино,37.605533,55.651071
388,район Зюзино,37.605577,55.649021
389,район Зюзино,37.605587,55.648621
390,район Зюзино,37.605619,55.647386
391,район Зюзино,37.605592,55.645612
392,район Зюзино,37.605591,55.645499
393,район Зюзино,37.605589,55.64538
394,район Зюзино,37.605586,55.645201
395,район Зюзино,37.605581,55.644821
396,район Зюзино,37.605576,55.644484
397,район Зюзино,37.605646,55.64334
398,район Зюзино,37.605669,55.641335
399,район Зюзино,37.594756,55.641953
400,район Зюзино,37.594453,55.64197
401,район Зюзино,37.591623,55.642196
402,район Зюзино,37.590163,55.642404
403,район Зюзино,37.589355,55.642586
404,район Зюзино,37.586526,55.643441
405,район Зюзино,37.582607,55.644642
406,район Зюзино,37.579909,55.645467
407,район Зюзино,37.5768,55.646429
