,name,lon,lat,zNum,carCap,carDisCap,address
85,,,,,,,
86,Парковка №0302 (218),37.584711,55.750861,0302,1,0,"Композиторская улица, дом 25/5, строение 1"
87,Парковка №0302 (218),37.584738,55.750795,0302,1,0,"Композиторская улица, дом 25/5, строение 1"
88,,,,,,,
89,Парковка №0302 (56),37.588466,55.747467,0302,2,0,"Кривоарбатский переулок, дом 19"
90,Парковка №0302 (56),37.588617,55.747512,0302,2,0,"Кривоарбатский переулок, дом 19"
91,,,,,,,
92,Парковка №0302 (59),37.589394,55.747772,0302,3,0,"Кривоарбатский переулок, дом 15, строение 1"
93,Парковка №0302 (59),37.589727,55.747862,0302,3,0,"Кривоарбатский переулок, дом 15, строение 1"
94,,,,,,,
95,Парковка №0302 (61),37.591192,55.748704,0302,3,0,"Кривоарбатский переулок, дом 3"
96,Парковка №0302 (61),37.591256,55.74848,0302,3,0,"Кривоарбатский переулок, дом 3"
97,,,,,,,
98,Парковка №0302 (215),37.588166,55.747636,0302,1,0,"Кривоарбатский переулок, дом 16/22"
99,Парковка №0302 (215),37.588193,55.747585,0302,1,0,"Кривоарбатский переулок, дом 16/22"
100,,,,,,,
101,Парковка №0302 (213),37.588037,55.747827,0302,1,0,"Кривоарбатский переулок, дом 16/22"
102,Парковка №0302 (213),37.588091,55.747733,0302,1,0,"Кривоарбатский переулок, дом 16/22"
103,,,,,,,
104,Парковка №0302 (72),37.58962,55.753917,0302,2,0,"Борисоглебский переулок, дом 6, строение 2"
105,Парковка №0302 (72),37.589673,55.754017,0302,2,0,"Борисоглебский переулок, дом 6, строение 2"
106,,,,,,,
107,Парковка №0302 (74),37.590103,55.75438,0302,1,0,"Борисоглебский переулок, дом 8, строение 1"
108,Парковка №0302 (74),37.59014,55.75444,0302,1,0,"Борисоглебский переулок, дом 8, строение 1"
109,,,,,,,
110,Парковка №0302 (76),37.590424,55.754806,0302,3,0,"Борисоглебский переулок, дом 15, строение 3"
111,Парковка №0302 (76),37.590601,55.754939,0302,3,0,"Борисоглебский переулок, дом 15, строение 3"
112,,,,,,,
113,Парковка №0302 (77),37.590162,55.754604,0302,2,0,"Борисоглебский переулок, дом 13, строение 2"
114,Парковка №0302 (77),37.590306,55.754728,0302,2,0,"Борисоглебский переулок, дом 13, строение 2"
115,,,,,,,
116,Парковка №0302 (78),37.590698,55.755003,0302,2,0,"Борисоглебский переулок, дом 15, строение 3"
117,Парковка №0302 (78),37.590795,55.755076,0302,2,0,"Борисоглебский переулок, дом 15, строение 3"
118,,,,,,,
119,Парковка №0302 (79),37.59097,55.755203,0302,3,3,"Поварская улица, дом 21/17, строение 1"
120,Парковка №0302 (79),37.591165,55.755333,0302,3,3,"Поварская улица, дом 21/17, строение 1"
121,,,,,,,
122,Парковка №0302 (81),37.591925,55.753997,0302,1,0,"улица Малая Молчановка, дом 8, строение 2"
123,Парковка №0302 (81),37.592156,55.753944,0302,1,0,"улица Малая Молчановка, дом 8, строение 2"
124,,,,,,,
125,Парковка №0302 (102),37.586734,55.754204,0302,2,0,"Трубниковский переулок, дом 22, строение 1"
126,Парковка №0302 (102),37.586719,55.754026,0302,2,0,"Трубниковский переулок, дом 22, строение 1"
127,,,,,,,
128,Парковка №0302 (104),37.586613,55.754265,0302,3,0,"Трубниковский переулок, дом 15, строение 1"
129,Парковка №0302 (104),37.586586,55.754005,0302,3,0,"Трубниковский переулок, дом 15, строение 1"
130,,,,,,,
131,Парковка №0302 (106),37.586643,55.754465,0302,2,0,"Трубниковский переулок, дом 15, строение 2"
132,Парковка №0302 (106),37.586628,55.754359,0302,2,0,"Трубниковский переулок, дом 15, строение 2"
133,,,,,,,
134,Парковка №0302 (108),37.586978,55.755408,0302,2,0,"Трубниковский переулок, дом 21, строение 1"
135,Парковка №0302 (108),37.587039,55.755576,0302,2,0,"Трубниковский переулок, дом 21, строение 1"
136,,,,,,,
137,Парковка №0302 (112),37.586911,55.754885,0302,3,0,"Трубниковский переулок, дом 26, строение 1"
138,Парковка №0302 (112),37.586979,55.755086,0302,3,0,"Трубниковский переулок, дом 26, строение 1"
139,,,,,,,
140,Парковка №0302 (113),37.587015,55.755182,0302,3,0,"Трубниковский переулок, дом 30А, строение 1"
141,Парковка №0302 (113),37.587133,55.755495,0302,3,0,"Трубниковский переулок, дом 30А, строение 1"
142,,,,,,,
143,Парковка №0302 (114),37.587174,55.755656,0302,1,0,"Трубниковский переулок, дом 30, строение 1"
144,Парковка №0302 (114),37.587213,55.755765,0302,1,0,"Трубниковский переулок, дом 30, строение 1"
145,,,,,,,
146,Парковка №0302 (115),37.587282,55.755898,0302,1,0,"Трубниковский переулок, дом 32"
147,Парковка №0302 (115),37.587313,55.755988,0302,1,0,"Трубниковский переулок, дом 32"
148,,,,,,,
149,Парковка №0302 (117),37.587832,55.756695,0302,2,0,"Поварская улица, дом 29/36, строение 2"
150,Парковка №0302 (117),37.587923,55.756779,0302,2,0,"Поварская улица, дом 29/36, строение 2"
151,,,,,,,
152,Парковка №0302 (118),37.592083,55.749494,0302,1,0,"улица Арбат, дом 33"
153,Парковка №0302 (118),37.592109,55.749413,0302,1,0,"улица Арбат, дом 33"
154,,,,,,,
155,Парковка №0302 (120),37.592259,55.747966,0302,3,0,"Калошин переулок, дом 4, строение 1"
156,Парковка №0302 (120),37.592275,55.747793,0302,3,0,"Калошин переулок, дом 4, строение 1"
157,,,,,,,
158,Парковка №0302 (212),37.583227,55.749563,0302,2,0,"Смоленская площадь, дом 6, строение 1"
159,Парковка №0302 (212),37.583494,55.749622,0302,2,0,"Смоленская площадь, дом 6, строение 1"
160,,,,,,,
161,Парковка №0302 (211),37.5832,55.749493,0302,3,0,"Смоленская площадь, дом 6, строение 1"
162,Парковка №0302 (211),37.583554,55.74957,0302,3,0,"Смоленская площадь, дом 6, строение 1"
163,,,,,,,
164,Парковка №0302 (208),37.586836,55.750374,0302,2,0,"переулок Каменная Слобода, дом 2/1, строение 1"
165,Парковка №0302 (208),37.586948,55.750401,0302,2,0,"переулок Каменная Слобода, дом 2/1, строение 1"
166,,,,,,,
167,Парковка №0302 (207),37.585843,55.750081,0302,2,0,"переулок Каменная Слобода, дом 3"
168,Парковка №0302 (207),37.58601,55.750123,0302,2,0,"переулок Каменная Слобода, дом 3"
169,,,,,,,
170,Парковка №0302 (204),37.584207,55.748619,0302,1,0,"Карманицкий переулок, дом 5"
171,Парковка №0302 (204),37.584352,55.748662,0302,1,0,"Карманицкий переулок, дом 5"
172,,,,,,,
173,Парковка №0302 (123),37.592286,55.747663,0302,3,0,"Калошин переулок, дом 2/24"
174,Парковка №0302 (123),37.592302,55.747503,0302,3,0,"Калошин переулок, дом 2/24"
175,,,,,,,
176,Парковка №0302 (129),37.596972,55.75256,0302,2,0,"улица Новый Арбат, дом 7, строение 1"
177,Парковка №0302 (129),37.596994,55.752444,0302,2,0,"улица Новый Арбат, дом 7, строение 1"
178,,,,,,,
179,Парковка №0302 (203),37.586149,55.749258,0302,1,0,"Карманицкий переулок, дом 8, строение 1"
180,Парковка №0302 (203),37.586246,55.749294,0302,1,0,"Карманицкий переулок, дом 8, строение 1"
181,,,,,,,
182,Парковка №0302 (133),37.580554,55.74717,0302,2,0,"2-й Смоленский переулок, дом 1/4"
183,Парковка №0302 (133),37.580886,55.747176,0302,2,0,"2-й Смоленский переулок, дом 1/4"
184,,,,,,,
185,Парковка №0306 (13),37.644744,55.768582,0306,1,0,"Мясницкая улица, дом 47"
186,Парковка №0306 (13),37.644856,55.768645,0306,1,0,"Мясницкая улица, дом 47"
187,,,,,,,
188,Парковка №0302 (248),37.580433,55.748534,0302,3,0,"1-й Николощеповский переулок, дом 6, строение 2"
189,Парковка №0302 (248),37.580789,55.748544,0302,3,0,"1-й Николощеповский переулок, дом 6, строение 2"
190,,,,,,,
191,Парковка №0302 (247),37.579288,55.75031,0302,3,3,"1-й Смоленский переулок, дом 24А"
192,Парковка №0302 (247),37.579412,55.750082,0302,3,3,"1-й Смоленский переулок, дом 24А"
193,,,,,,,
194,Парковка №0302 (236),37.575981,55.749737,0302,3,2,"Смоленская набережная, дом 5/13"
195,Парковка №0302 (236),37.576022,55.749457,0302,3,2,"Смоленская набережная, дом 5/13"
196,,,,,,,
197,Парковка №0301 (2),37.588847,55.739699,0301,2,2,"улица Пречистенка, дом 35, строение 2"
198,Парковка №0301 (2),37.589073,55.739786,0301,2,2,"улица Пречистенка, дом 35, строение 2"
199,,,,,,,
200,Парковка №0301 (5),37.594212,55.741799,0301,2,0,"улица Пречистенка, дом 17/8, строение 5"
201,Парковка №0301 (5),37.594469,55.741914,0301,2,0,"улица Пречистенка, дом 17/8, строение 5"
202,,,,,,,
203,Парковка №0301 (15),37.584162,55.742035,0301,3,0,"Смоленский бульвар, дом 15"
204,Парковка №0301 (15),37.584088,55.742262,0301,3,0,"Смоленский бульвар, дом 15"
205,,,,,,,
206,Парковка №0301 (16),37.584054,55.742368,0301,3,0,"Смоленский бульвар, дом 17, строение 1"
207,Парковка №0301 (16),37.58401,55.742519,0301,3,0,"Смоленский бульвар, дом 17, строение 1"
208,,,,,,,
