,name,lon,lat,zNum,carCap,carDisCap,address
82,Парковка №0301 (83),37.586342,55.734257,0301,16,2,"улица Льва Толстого, дом 16"
83,Парковка №0301 (83),37.58754,55.733421,0301,16,2,"улица Льва Толстого, дом 16"
84,,,,,,,
85,Парковка №0301 (84),37.58536,55.734874,0301,22,2,"улица Льва Толстого, дом 21, строение 1"
86,Парковка №0301 (84),37.587023,55.733697,0301,22,2,"улица Льва Толстого, дом 21, строение 1"
87,,,,,,,
88,Парковка №0301 (90),37.589781,55.732093,0301,13,0,"улица Льва Толстого, дом 3"
89,Парковка №0301 (90),37.590832,55.731623,0301,13,0,"улица Льва Толстого, дом 3"
90,,,,,,,
91,Парковка №0303 (7),37.555057,55.758621,0303,14,4,"Шмитовский проезд, дом 3, строение 2"
92,Парковка №0303 (7),37.555068,55.758064,0303,14,4,"Шмитовский проезд, дом 3, строение 2"
93,,,,,,,
94,Парковка №0303 (12),37.537585,55.755299,0303,14,5,"улица Антонова-Овсеенко, дом 11"
95,Парковка №0303 (12),37.538151,55.754637,0303,14,5,"улица Антонова-Овсеенко, дом 11"
96,,,,,,,
97,Парковка №0303 (359),37.54769,55.75421,0303,21,3,"1-й Красногвардейский проезд, дом 4, корпус А, строение 1"
98,Парковка №0303 (359),37.548251,55.755199,0303,21,3,"1-й Красногвардейский проезд, дом 4, корпус А, строение 1"
99,,,,,,,
100,Парковка №0303 (19),37.553372,55.756963,0303,15,0,"Мантулинская улица, дом 12"
101,Парковка №0303 (19),37.553464,55.756395,0303,15,0,"Мантулинская улица, дом 12"
102,,,,,,,
103,Парковка №0303 (131),37.5499123334885,55.7578068893921,0303,12,4,"Шмитовский проезд, дом 15/5"
104,Парковка №0303 (131),37.5500223040581,55.7571533750531,0303,12,4,"Шмитовский проезд, дом 15/5"
105,,,,,,,
106,Парковка №0303 (133),37.550058,55.756941,0303,14,0,"улица Сергея Макеева, дом 1"
107,Парковка №0303 (133),37.550253,55.756078,0303,14,0,"улица Сергея Макеева, дом 1"
108,,,,,,,
109,Парковка №0303 (95),37.556205,55.757834,0303,16,3,"Студенецкий переулок, дом 3"
110,Парковка №0303 (95),37.556216,55.757499,0303,16,3,"Студенецкий переулок, дом 3"
111,,,,,,,
112,Парковка №0303 (74),37.5553143024445,55.7563715582937,0303,27,3,"Мантулинская улица, дом 2, сооружение 1"
