,name,lon,lat,zNum,carCap,carDisCap,address
85,Парковка №0302 (69),37.589311,55.753466,0302,4,0,"улица Большая Молчановка, дом 30/7, строение 1"
86,Парковка №0302 (69),37.589425,55.753751,0302,4,0,"улица Большая Молчановка, дом 30/7, строение 1"
87,,,,,,,
88,Парковка №0302 (70),37.58944,55.753463,0302,5,2,"улица Большая Молчановка, дом 26-28"
89,Парковка №0302 (70),37.589582,55.753837,0302,5,2,"улица Большая Молчановка, дом 26-28"
90,,,,,,,
91,Парковка №0302 (71),37.589262,55.753255,0302,4,0,"улица Новый Арбат, дом 22"
92,Парковка №0302 (71),37.589244,55.752903,0302,4,0,"улица Новый Арбат, дом 22"
93,,,,,,,
94,Парковка №0302 (75),37.589936,55.754389,0302,4,0,"Борисоглебский переулок, дом 13, строение 1"
95,Парковка №0302 (75),37.590081,55.754531,0302,4,0,"Борисоглебский переулок, дом 13, строение 1"
96,,,,,,,
97,Парковка №0302 (80),37.58947,55.753817,0302,4,0,"Борисоглебский переулок, дом 9, строение 1"
98,Парковка №0302 (80),37.589571,55.753999,0302,4,0,"Борисоглебский переулок, дом 9, строение 1"
99,,,,,,,
100,Парковка №0302 (82),37.592256,55.75392,0302,4,0,"улица Малая Молчановка, дом 8, строение 1"
101,Парковка №0302 (82),37.592722,55.753807,0302,4,0,"улица Малая Молчановка, дом 8, строение 1"
102,,,,,,,
103,Парковка №0302 (84),37.593097,55.753642,0302,4,0,"улица Малая Молчановка, дом 7, строение 4"
104,Парковка №0302 (84),37.59369,55.753496,0302,4,0,"улица Малая Молчановка, дом 7, строение 4"
105,,,,,,,
106,Парковка №0302 (101),37.586707,55.753935,0302,4,3,"Трубниковский переулок, дом 13, строение 1"
107,Парковка №0302 (101),37.586676,55.753611,0302,4,3,"Трубниковский переулок, дом 13, строение 1"
108,,,,,,,
109,Парковка №0302 (103),37.586574,55.753929,0302,5,0,"Трубниковский переулок, дом 13, строение 1"
110,Парковка №0302 (103),37.586537,55.753605,0302,5,0,"Трубниковский переулок, дом 13, строение 1"
111,,,,,,,
112,Парковка №0302 (105),37.5867,55.754631,0302,5,0,"Трубниковский переулок, дом 17, строение 1"
113,Парковка №0302 (105),37.586832,55.754984,0302,5,0,"Трубниковский переулок, дом 17, строение 1"
114,,,,,,,
115,Парковка №0302 (110),37.587287,55.756335,0302,4,4,"Поварская улица, дом 31/29"
116,Парковка №0302 (110),37.587606,55.756679,0302,4,4,"Поварская улица, дом 31/29"
117,,,,,,,
118,Парковка №0302 (111),37.587718,55.756699,0302,4,0,"Поварская улица, дом 31/29, строение 2"
119,Парковка №0302 (111),37.587827,55.756806,0302,4,0,"Поварская улица, дом 31/29, строение 2"
120,,,,,,,
121,Парковка №0302 (210),37.584695,55.749872,0302,4,4,"Малый Каковинский переулок, дом 1/8, строение 2"
122,Парковка №0302 (210),37.585039,55.749957,0302,4,4,"Малый Каковинский переулок, дом 1/8, строение 2"
123,,,,,,,
124,Парковка №0302 (206),37.586508,55.750283,0302,4,0,"переулок Каменная Слобода, дом 2/1, строение 1"
125,Парковка №0302 (206),37.586702,55.750332,0302,4,0,"переулок Каменная Слобода, дом 2/1, строение 1"
126,,,,,,,
127,Парковка №0302 (205),37.584051,55.749684,0302,6,0,"переулок Каменная Слобода, дом 7"
128,Парковка №0302 (205),37.584534,55.749781,0302,6,0,"переулок Каменная Слобода, дом 7"
129,,,,,,,
130,Парковка №0302 (122),37.592195,55.748474,0302,6,0,"Калошин переулок, дом 6, строение 1"
131,Парковка №0302 (122),37.592221,55.748114,0302,6,0,"Калошин переулок, дом 6, строение 1"
132,,,,,,,
133,Парковка №0302 (128),37.592432,55.750778,0302,6,1,"Малый Николопесковский переулок, дом 4"
134,Парковка №0302 (128),37.592716,55.750357,0302,6,1,"Малый Николопесковский переулок, дом 4"
135,,,,,,,
136,Парковка №0302 (130),37.588314,55.74871,0302,5,0,"улица Арбат, дом 38/1, строение 2"
137,Парковка №0302 (130),37.588204,55.74885,0302,5,0,"улица Арбат, дом 38/1, строение 2"
138,,,,,,,
139,Парковка №0302 (132),37.58138,55.747188,0302,5,1,"2-й Смоленский переулок, дом 1/4"
140,Парковка №0302 (132),37.581884,55.747191,0302,5,1,"2-й Смоленский переулок, дом 1/4"
141,,,,,,,
142,Парковка №0302 (253),37.576949,55.752177,0302,4,0,"улица Новый Арбат, дом 31/12"
143,Парковка №0302 (253),37.577591,55.752174,0302,4,0,"улица Новый Арбат, дом 31/12"
144,,,,,,,
145,Парковка №0302 (138),37.578873,55.753766,0302,6,0,"улица Новый Арбат, дом 34"
146,Парковка №0302 (138),37.5791,55.754036,0302,6,0,"улица Новый Арбат, дом 34"
147,,,,,,,
148,Парковка №0302 (246),37.579647,55.749597,0302,6,0,"1-й Смоленский переулок, дом 19, строение 1"
149,Парковка №0302 (246),37.579916,55.749097,0302,6,0,"1-й Смоленский переулок, дом 19, строение 1"
150,,,,,,,
151,Парковка №0302 (245),37.579529,55.749866,0302,5,0,"1-й Смоленский переулок, дом 24"
152,Парковка №0302 (245),37.579604,55.749684,0302,5,0,"1-й Смоленский переулок, дом 24"
153,,,,,,,
154,Парковка №0302 (244),37.580229,55.748471,0302,5,0,"1-й Смоленский переулок, дом 17, строение 1"
155,Парковка №0302 (244),37.580283,55.748341,0302,5,0,"1-й Смоленский переулок, дом 17, строение 1"
156,Парковка №0302 (244),37.5803,55.748211,0302,5,0,"1-й Смоленский переулок, дом 17, строение 1"
157,Парковка №0302 (244),37.580303,55.74806,0302,5,0,"1-й Смоленский переулок, дом 17, строение 1"
158,,,,,,,
159,Парковка №0302 (243),37.58029,55.747832,0302,5,0,"1-й Смоленский переулок, дом 13"
160,Парковка №0302 (243),37.58024,55.747512,0302,5,0,"1-й Смоленский переулок, дом 13"
161,,,,,,,
162,Парковка №0302 (240),37.576462,55.746212,0302,5,0,"Смоленская набережная, дом 2"
163,Парковка №0302 (240),37.576484,55.746477,0302,5,0,"Смоленская набережная, дом 2"
164,,,,,,,
165,Парковка №0302 (237),37.578785,55.746484,0302,5,0,"Шубинский переулок, дом 7"
166,Парковка №0302 (237),37.579297,55.746477,0302,5,0,"Шубинский переулок, дом 7"
167,,,,,,,
168,Парковка №0301 (1),37.590285,55.740232,0301,4,0,"улица Пречистенка, дом 31/16"
169,Парковка №0301 (1),37.589974,55.740113,0301,4,0,"улица Пречистенка, дом 31/16"
170,,,,,,,
171,Парковка №0301 (3),37.591704,55.740721,0301,5,0,"улица Пречистенка, дом 25"
172,Парковка №0301 (3),37.591323,55.740593,0301,5,0,"улица Пречистенка, дом 25"
173,,,,,,,
174,Парковка №0301 (6),37.595392,55.742316,0301,6,0,"улица Пречистенка, дом 15"
175,Парковка №0301 (6),37.596068,55.742622,0301,6,0,"улица Пречистенка, дом 15"
176,,,,,,,
177,Парковка №0301 (8),37.596459,55.742852,0301,6,0,"улица Пречистенка, дом 14/1, строение 1"
178,Парковка №0301 (8),37.596903,55.743021,0301,6,0,"улица Пречистенка, дом 14/1, строение 1"
179,Парковка №0301 (8),37.597243,55.743164,0301,6,0,"улица Пречистенка, дом 14/1, строение 1"
180,,,,,,,
181,Парковка №0301 (9),37.597876,55.743409,0301,6,1,"улица Пречистенка, дом 12/2, строение 10"
182,Парковка №0301 (9),37.598714,55.743708,0301,6,1,"улица Пречистенка, дом 12/2, строение 10"
183,,,,,,,
184,Парковка №0301 (11),37.590644,55.736609,0301,6,0,"Зубовский бульвар, дом 17, строение 1"
185,Парковка №0301 (11),37.591562,55.736285,0301,6,0,"Зубовский бульвар, дом 17, строение 1"
186,,,,,,,
187,Парковка №0301 (12),37.58874,55.737335,0301,6,2,"Зубовский бульвар, дом 27, строение 1"
188,Парковка №0301 (12),37.58926,55.737132,0301,6,2,"Зубовский бульвар, дом 27, строение 1"
189,,,,,,,
190,Парковка №0301 (14),37.584258,55.741588,0301,4,2,"Смоленский бульвар, дом 13, строение 1"
191,Парковка №0301 (14),37.584168,55.741839,0301,4,2,"Смоленский бульвар, дом 13, строение 1"
192,,,,,,,
193,Парковка №0301 (22),37.570678,55.739026,0301,5,0,"Саввинская набережная, дом 3"
194,Парковка №0301 (22),37.571021,55.739439,0301,5,0,"Саввинская набережная, дом 3"
195,,,,,,,
196,Парковка №0301 (32),37.560947,55.732647,0301,4,0,"Большой Саввинский переулок, дом 12, строение 8"
197,Парковка №0301 (32),37.561982,55.733125,0301,4,0,"Большой Саввинский переулок, дом 12, строение 8"
198,,,,,,,
199,Парковка №0301 (33),37.560392,55.732362,0301,6,0,"Саввинская набережная, дом 23, строение 1"
200,Парковка №0301 (33),37.56082,55.732563,0301,6,0,"Саввинская набережная, дом 23, строение 1"
201,,,,,,,
202,Парковка №0301 (36),37.600343,55.748287,0301,5,0,"Гоголевский бульвар, дом 14, строение 1"
203,Парковка №0301 (36),37.600247,55.747657,0301,5,0,"Гоголевский бульвар, дом 14, строение 1"
204,,,,,,,
205,Парковка №0301 (40),37.582989,55.744495,0301,5,2,"Смоленская-Сенная площадь, дом 23/25"
206,Парковка №0301 (40),37.583225,55.743984,0301,5,2,"Смоленская-Сенная площадь, дом 23/25"
207,,,,,,,
208,Парковка №0301 (44),37.585908,55.738076,0301,4,1,"Зубовская площадь, дом 3, строение 1"
209,Парковка №0301 (44),37.586052,55.738004,0301,4,1,"Зубовская площадь, дом 3, строение 1"
210,,,,,,,
211,Парковка №0301 (203),37.609248,55.746714,0301,6,1,"улица Ленивка, дом 3, строение 3"
212,Парковка №0301 (203),37.608794,55.746914,0301,6,1,"улица Ленивка, дом 3, строение 3"
213,,,,,,,
214,Парковка №0301 (244),37.590376,55.744229,0301,4,2,"Большой Могильцевский переулок, дом 4-6"
